year,month,day,event,isHoliday
1394,5,11,درگذشت الکساندر گراهام بل دانشمند بریتانیایی,0
1394,5,11,درگذشت ریموند کِلِوی کاروِر جونیور نویسندهٔ داستان‌های کوتاه و شاعر آمریکایی,0
1394,5,12,درگذشت ریچارد ویلشتتر شیمیدان آلمانی,0
1394,5,12,درگذشت آلکساندر سولژنیتسین نویسندهٔ روس,0
1394,5,14,صدور فرمان مشروطیت,0
1394,5,14,برگزاری اولین کنکور در ایران,0
1394,5,14,زادروز نیل آرمسترانگ,0
1394,5,15,زادروز الکساندر فلمینگ دانشمند انگلیسی,0
1394,5,15,درگذشت تئودور آدورنو جامعه‌شناس,0
1394,5,16,زادروز الینور اوستروم دانشمند آمریکایی,0
1394,5,17,روز خبرنگار,0
1394,5,17,درگذشت نویل فرانسیس مات فیزیکدان انگلیسی,0
1394,5,18,زادروز ژان پیاژه روان‌شناس,0
1394,5,18,درگذشت هرمان هسه نویسنده و نقاش آلمانی,0
1394,5,19,درگذشت میشل هایدن آهنگساز موسیقی اهل اتریش,0
1394,5,20,شهادت امام جعفر صادق علیه السلام,1
1394,5,20,زادروز استیو وزنیاک مهندس کامپیوتر,0
1394,5,20,درگذشت مکس تیلر ویروس‌شناس آفریقای جنوبی آمریکایی,0
1394,5,21,درگذشت توماس مان نویسندهٔ آلمانی,0
1394,5,21,زادروز خاسینتو بناونته نمایش‌نامه‌نویس اسپانیایی,0
1394,5,22,روز جهانی چپ دست ها,0
1394,5,22,زادروز فیدل کاسترو,0
1394,5,23,زادروز جان گالزورثی نویسنده و نمایشنامه نویس انگلیسی,0
1394,5,23,درگذشت پل ساباتیه شیمیدان فرانسوی,0
1394,5,24,زادروز ناپلئون بناپارت,0
1394,5,24,زادروز لویی دوبروی فیزیک‌دان فرانسوی,0
1394,5,25,ولادت حضرت معصومه سلام الله علیها و روز دختران,0
1394,5,25,درگذشت ایروینگ لانگمویر شیمی‌دان و فیزیک‌دان آمریکایی,0
1394,5,26,سالروز ورود آزادگانِ سرافراز به وطن,0
1394,5,26,زادروز هرتا مولر نویسنده,0
1394,5,26,زادروز وی. اس. نایپل رمان‌نویس و مقاله‌نویس هندو ترینیدادی‌تبار بریتانیایی,0
1394,5,28,سالروز وقایع 28 مرداد و برکناری دکتر محمد مصدق,0
1394,5,28,سالروز فاجعه آتش زدن سینما رکس آبادان,0
1394,5,28,روز جهانی عکاسی,0
1394,5,28,درگذشت لینوس پاولینگ دانشمند آمریکایی,0
1394,5,29,آغاز به کار نخسین جشنواره فیلم کن در شهر کن فرانسه با رقابت ۱۱ فیلم برای کسب نخل طلایی,0
1394,5,29,درگذشت آدولف فون بایر شیمی‌دان آلمانی,0
1394,5,29,درگذشت پل الریخ,0
1394,5,30,روز پزشک,0
1394,5,30,زادروز ابن سینا پزشک و شاعر و از مشهورترین و تاثیرگذارترینِ فیلسوفان و دانشمندان ایران‌زمین,0
1394,5,31,درگذشت روژه مارتن دوگار نویسندهٔ فرانسوی,0
1394,6,1,روز بزرگداشت ابوعلی سینا و روز پزشک,0
1394,6,1,درگذشت جان کندرو بیوشیمیست انگلیسی,0
1394,6,2,آغاز هفته دولت,0
1394,6,2,زادروز پائولو کوئلیو نویسنده برزیلی,0
1394,6,2,زادروز ژان اگوست دومینیک انگر,0
1394,6,4,زادروز داراب (کوروش),0
1394,6,4,شهریور روز,0
1394,6,4,روز کارمند,0
1394,6,4,ولادت امام  رضا علیه السلام,0
1394,6,4,زادروز آنتوان لاووازیه,0
1394,6,5,روز بزرگداشت محمدبن زکریای رازی و روز داروساز,0
1394,6,5,درگذشت چزاره پاوزه رمان نویس,0
1394,6,5,درگذشت چزاره پاوزه رمان نویس,0
1394,6,5,درگذشت لوکوربوزیه معمار,0
1394,6,5,درگذشت لوکوربوزیه معمار,0
1394,6,6,زادروز یوهان ولفگانگ گوته شاعر,0
1394,6,6,درگذشت ملوین شوارتز فیزیک‌دان آمریکایی,0
1394,6,8,انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران,0
1394,6,8,تولد ارنست رادفورد,0
1394,6,8,درگذشت علامه حلی از علمای شیعه قرن هشتم قمری,0
1394,6,9,درگذشت ویلهلم وونت پزشک,0
1394,6,10,امضای معاهده تقسیم ایران بین روسیه و انگلیس,0
1394,6,11,روزصنعت چاپ,0
1394,6,11,وقوع زلزله بویین زهرا و مرگ بیش از 25 هزار نفر,0
1394,6,11,وقوع آتش سوزی بزرگ لندن,0
1394,6,11,درگذشت محمود حسابی فیزیکدان,0
1394,6,13,روز بزرگداشت ابوریحان بیرونی,0
1394,6,13,روز تعاون,0
1394,6,13,زادروز ویلیام باتلر ییتس نویسنده و شاعر ایرلندی و برنده جایزه ادبیات نوبل,0
1394,6,14,زادروز ابوریحان بیرونی دانشمند بزرگ,0
1394,6,14,درگذشت رودولف فیرخو پزشک,0
1394,6,15,زادروز ادوارد ویکتور اپلتون فیزیک‌دان انگلیسی,0
1394,6,15,درگذشت سولی پرودوم شاعر فرانسوی,0
1394,6,16,درگذشت ادوین مک‌میلان فیزیکدان آمریکایی,0
1394,6,17,قیام 17 شهریور,0
1394,6,17,زادروز فردریک میسترال نویسندهٔ فرانسوی,0
1394,6,17,درگذشت جلال آل احمد روشنفکر دینی,0
1394,6,18,درگذشت علینقی وزیری,0
1394,6,18,درگذشت ژاک لاکان پزشک,0
1394,6,19,درگذشت آیت الله سید محمود طالقانی,0
1394,6,19,روز جهانی پیشگیری از خودکشی,0
1394,6,19,درگذشت مری ولستون‌کرافت نویسندهٔ انگلیسی,0
1394,6,20,حمله به برج‌های دوقلوی مرکز تجارت جهانی,0
1394,6,20,درگذشت محمدعلی جناح بنیانگذار کشور پاکستان,0
1394,6,21,روز سینما,0
1394,6,21,روز گرامیداشت برنامه نویسان,0
1394,6,21,درگذشت جانی کش خواننده,0
1394,6,21,درگذشت نورمن بورلاگ دانشمند آمریکایی,0
1394,6,22,کشته شدن شیخ محمد خیابانی از فعالان سیاسی در دوره انقلاب مشروطه ایران,0
1394,6,23,شهادت امام محمد تقی علیه السلام,0
1394,6,23,سفر انوشه انصاری به‌عنوان اولین زن گردشگر فضایی به دور مدار زمین,0
1394,6,23,درگذشت هانیبال الخاص,0
1394,6,23,انتخاب تئودور روزولت از حزب جمهوری‌خواه به عنوان بیست و ششمین رئیس جمهور ایالات متحده در پی ترور ویلیام مک کینلی,0
1394,6,23,زادروز ایوان پاولف روان‌شناس روس,0
1394,6,24,اعدام صادق قطب‌زاده,0
1394,6,24,ثبت دامنه اینترنتی جست‌وجوگر گوگل (google.com) پربازدیدترین وب سایت جهان,0
1394,6,24,زادروز مارکو پولو,0
1394,6,24,درگذشت عبدالحسین زرین‌کوب خوانساری,0
1394,6,24,درگذشت اوریانا فالاچی,0
1394,6,24,زادروز موری گل مان فیزیکدان آمریکایی,0
1394,6,25,زمین لرزه طبس به قدرت 7,0
1394,6,25,درگذشت ژان پیاژه روان‌شناس,0
1394,6,25,برگزاری انتخابات دوره نخست مجلس شورای ملی,0
1394,6,25,درگذشت رونالد راس زیست‌شناس انگلیسی,0
1394,6,26,لغو عهدنامه ۱۹۷۵ الجزایر توسط صدام حسین,0
1394,6,26,زادروز برنهارت ریمان ریاضی‌دان آلمانی,0
1394,6,26,درگذشت کارل پوپر فیلسوف ونویسندهٔ انگلیسی,0
1394,6,26,سالروز ترور میکونوس در شهر برلین,0
1394,6,27,روز شعر و ادب پارسی و  روز بزرگداشت استاد شهریار,0
1394,6,27,سالروز تأسیس روزنامه نیویورک تایمز,0
