year,month,day,event,isHoliday
1396,4,5,زادروز لرد کلوین، فیزیکدان بریتانیایی,0
1396,4,6,تعطیل به مناسبت عید سعید فطر,1
1396,4,6,درگذشت سوفی ژرمن ریاضی‌دان، فیزیکدان و فیلسوف فرانسوی,0
1396,4,7,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و 72 نفر از اعضای حزب؛ روز قوه قضاییه,0
1396,4,7,زادروز ژان پی‌یر اوئل نقاش فرانسوی,0
1396,4,8,روز مبارزه با سلاح های شیمیایی و میکروبی,0
1396,4,8,زادروز آنتوان دو سنت‌اگزوپری نویسنده و خلبان فرانسوی، خالق شازده کوچولو,0
1396,4,8,درگذشت توماس هنری هاکسلی، زیست‌شناس انگلیسی,0
1396,4,9,درگذشت جان استرات، فیزیکدان انگلیسی، کاشف عنصر آرگون، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۴,0
1396,4,10,روز صنعت و معدن,0
1396,4,10,ژان ویکتور پونسله ریاضی‌دان و بنیادگذار هندسه تحلیلی اهل فرانسوی,0
1396,4,10,درگذشت لویی فردینان سلین نویسنده فرانسوی,0
1396,4,11,درگذشت کیخسرو شاهرخ، بنیانگذار آرامگاه فردوسی و کتابخانه مجلس شورای ملی و مدیر عامل شرکت سهامی تلفن,0
1396,4,11,درگذشت داگلاس انگلبارت مخترع آمریکایی موشواره، از پیشگامان علوم رایانه و اینترنت,0
1396,4,12,شلیک به پرواز 655 ایران ایر توسط ناو وینسنس,0
1396,4,13,تیر روز،جشن تیرگان,0
1396,4,13,زادروز فرشید مثقالی مجسمه‌ساز، گرافیست و تصویرگر کتاب کودک، اولین و تنها ایرانی برنده جایزه هانس کریستیان آندرسن,0
1396,4,14,روز قلم,0
1396,4,14,درگذشت آلبرشت کوسل زیست‌شناس آلمانی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۱۰,0
1396,4,15,جشن خام خواری,0
1396,4,15,درگذشت ویلیام فاکنر، رمان‌نویس آمریکایی و برندهٔ جایزه نوبل ادبیات.,0
1396,4,15,زادروز دالایی لامای چهاردهم، برنده جایزه صلح نوبل سال ۱۹۸۹,0
